word
active
aggressive
arrogant
athletic
attractive
boring
busy
cocky
committed
competitive
confident
conscientious
consistent
controlled
dedicated
determined
disciplined
drinks alcohol
driven
eats healthily
energetic
enthusiastic
exercises regularly
extroverted
fit
focussed
friendly
fun
funny
goal directed
greedy
happy
health conscious
healthy
inactive
introvert
kind
lazy
loud
moody
motivated
obssessive
organised
rude
sedentary
serious
social
sporty
strict
strong
unhappy
unhealthy
vain
